Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,GDPcapita,Inflation%,FDIInflowM
Burundi,Sub-Saharan Africa,141,31,51.4,2.4,20,0,15.9,-3.1,73.5,2,51.9,29.3,59.8,1.4,63.1,-3.3,68.2,-0.5,71.8,-7.1,60,5,30,0,40,8.8,5.5,4,625,11.8,1
Cambodia,Asia-Pacific,108,23,57.4,-1.1,30,0,18.7,-2.3,90.8,-0.1,88.4,0,36.6,-2.8,50.2,-4,77.9,-3.4,71,0.8,60,0,50,0,19.6,15.3,36.6,6.5,2402,2.9,1557
Cameroon,Sub-Saharan Africa,136,29,52.6,0.3,30,0,21.9,-3.1,71.7,2.4,86,-1.1,45,-1.8,56.1,0.6,69.4,-0.5,61.2,6.3,35,0,50,0,21.6,21.5,50.8,4.7,2366,3,507
Canada,North America,6,1,80.2,0.8,90,0,87.7,0.7,79.7,-0.1,47.3,2.5,89.3,-2.4,83.1,0.8,76.3,1.1,88.3,0.1,80,5,80,0,41.9,34.8,1488.3,1.8,42734,1.5,45375
CapeVerde,Sub-Saharan Africa,60,3,66.1,2.4,70,0,54.9,-0.1,77.4,-0.5,68.6,3.2,63.8,4.9,48,7.7,79.1,1.1,69.6,2.7,70,5,60,0,32.3,0.5,2.2,4.3,4133,2.5,71
CentralAfricanRepublic,Sub-Saharan Africa,161,40,46.7,-3.7,10,-10,20.6,-1.4,65.1,0,92.6,0.2,33.9,-1.3,40.4,-7.5,72.5,-5.6,51.8,-6,50,-5,30,0,15.7,4.9,3.9,4.1,800,5.2,71
Chad,Sub-Saharan Africa,167,41,44.5,-0.7,20,0,15.9,-4.1,46.2,-4.2,80,4.5,24.9,-0.3,43.3,2.8,69.8,-4.8,55.2,-0.4,50,0,40,0,25.8,10.7,20.7,5,1924,7.7,324
Chile,South and Central America / Caribbean,7,1,78.7,-0.3,90,0,72.3,0.3,76.5,-1.1,83.8,0.1,69.3,-1.2,69.3,-4.9,84.1,-0.5,82,0,90,5,70,0,23.2,17.4,320.5,5.5,18419,3,30323
China,Asia-Pacific,137,29,52.5,0.6,20,0,35,-1,69.9,-0.3,82.9,-0.4,49.7,1.7,61.9,-0.7,73.3,1.7,71.8,-0.2,30,5,30,0,23.9,1354,12405.7,7.8,9162,2.7,121080
Colombia,South and Central America / Caribbean,34,3,70.7,1.1,50,0,33.2,-0.8,80.6,4.5,74.9,-0.3,85.2,-5,80.5,1.2,78.8,0.1,78.8,6.6,75,5,70,0,28.9,46.6,502.9,4,10792,3.2,15823
Comoros,Sub-Saharan Africa,142,32,51.4,3.9,30,0,22.1,-1.9,64.5,-0.2,85.3,2.9,49.4,4.7,50.1,-1.1,74.5,-0.1,72.7,3.9,35,20,30,10,22.1,0.7,0.9,2.5,1258,6,17
DemcoraticRepublicCongo,Sub-Saharan Africa,172,44,40.6,1,10,0,17.6,-2.4,69.4,-2,74.6,14.5,30,-8.7,38.5,2.2,63,6.5,63,0,20,0,20,0,29.1,74.7,27.6,7.1,369,9.3,3312
RepublicCongo,Sub-Saharan Africa,169,43,43.7,0.2,10,0,20.6,-1.4,67.5,6.1,79.6,-0.7,35.1,3.6,47,2.2,72,-2.3,55.6,-5.1,20,0,30,0,26.1,4.1,19.1,3.8,4667,5,2758
CostaRica,South and Central America / Caribbean,53,9,66.9,-0.1,50,0,50.9,2.9,80,-2.9,90,-0.1,64.9,6.6,53.3,-7.1,76.3,0.9,83.8,-1.3,70,0,50,0,18.2,4.7,58.8,5,12606,4.5,2265
CoeDivoire,Sub-Saharan Africa,107,16,57.7,3.6,30,5,22.1,0.1,79.1,1.2,79.8,0,55.1,11.8,59,4.4,80.6,2.8,71.4,1.1,50,10,50,0,25.9,23.4,40.3,9.8,1727,1.3,478
Croatia,Europe,87,36,60.4,-0.9,40,0,41.1,1.1,69.4,-6,45.8,-2.9,61.4,-1.6,39.4,-3,79.2,-1.9,87.4,-0.1,80,5,60,0,42.5,4.4,78.4,-2,17810,3.4,1251
Cyprus,Europe,46,21,67.6,-1.4,70,0,64,1,79.7,-0.1,36.2,3.5,79.7,-1,70.2,7.4,78.8,-5.3,82.8,1,65,-10,50,-10,46.1,0.9,23.6,-2.4,27086,3.1,849
CzechRepublic,Europe,26,15,72.2,1.3,70,0,45.3,1.3,81.7,-0.3,43.8,0.3,70.1,4.3,84,-1.5,79.4,-2.3,87.8,1,80,10,80,0,43.3,10.6,287,-1.2,27191,3.3,10593
Denmark,Europe,10,3,76.1,0,90,0,93.7,-0.3,39.3,-0.5,0.5,-5.4,98.1,-0.3,91.2,0.1,80,0,87.8,1,90,5,90,0,57.6,5.6,210.1,-0.6,37657,2.4,2883
Djibouti,Sub-Saharan Africa,118,20,55.9,2,30,0,30.9,0.9,80.6,1.2,62.8,14,42.7,12.7,65.1,5.5,77.2,0.6,54.8,-4.8,65,0,50,-10,35.2,0.9,2.4,4.8,2677,3.7,100
Dominica,South and Central America / Caribbean,63,12,65.2,1.3,60,0,53.5,1.5,72.9,0.9,61.7,11.6,75,-2,70.7,1.9,85.8,0.5,72.7,-1.6,70,0,30,0,35.7,0.1,1,0.4,14166,2.3,20
DominicanRepublic,South and Central America / Caribbean,80,16,61.3,1.6,30,0,27.3,1.3,83.7,0,92.3,-0.3,56.1,2.4,55.2,-0.4,75.7,2.8,77.8,0,75,10,40,0,16.1,10.2,98.7,3.9,9646,3.7,3610
Ecuador,South and Central America / Caribbean,159,26,48,1.1,20,0,26,-1,79.8,-0.3,41.8,-5.5,52.8,1.3,52,4,66.1,-0.8,71.8,3.7,30,10,40,0,44,15.2,153.2,5,10056,5.1,587
Egypt,Middle East / North Africa,135,13,52.9,-1.9,20,-15,28.6,-0.4,85.6,0,69.6,0.2,62.7,-0.6,45.7,2.4,60.5,2.1,71.4,-2.4,45,-5,40,0,31.8,82.5,540,2.2,6545,8.6,2798
ElSalvador,South and Central America / Caribbean,59,11,66.2,-0.5,40,0,34.3,0.3,79.6,-6.1,85.8,0.4,59.6,-2.2,63.3,1.3,80,0.4,79,0,70,0,70,0,21.7,6.2,46.3,1.6,7438,1.7,516
EquatorialGuinea,Sub-Saharan Africa,168,42,44.4,2.1,10,-5,16.6,-2.4,75.5,0.1,62.6,23.3,43.4,-1,41.5,-1.6,75.4,2.6,53.8,-5,35,10,30,0,35.3,0.7,19.3,2,25929,5.5,2115
Eritrea,Sub-Saharan Africa,174,45,38.5,2.2,10,0,22.9,-2.1,57,0,66.1,11.5,18.6,1.3,63.6,9,57.6,2.1,69.1,0,0,0,20,0,33.6,5.7,4.4,7,777,12.3,74
Estonia,Europe,11,4,75.9,0.6,90,5,64.2,0.2,80.4,0.7,56,-0.2,77.6,-0.6,55.9,-0.1,76.9,-0.2,87.8,1,90,0,80,0,38.3,1.3,29.1,3.2,21713,4.2,1470
