Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,GDPcapita,Inflation%,FDIInflowM
Mongolia,Asia-Pacific,97,19,58.9,-2.8,30,0,28.2,1.2,81.8,-0.7,39.1,-23.5,71.8,1.4,81.1,1.9,72.4,-3.2,74.7,-5.1,50,0,60,0,45.1,2.8,15.2,12.3,5372,15,4452
Montenegro,Europe,68,31,63.6,1,40,0,37.8,-2.2,92.5,0.1,42.6,1.1,77.6,4.9,68.6,-2.8,78.6,-1.3,83.1,0.1,65,10,50,0,43.8,0.6,7.3,0,11800,3.6,610
Morocco,Middle East / North Africa,103,10,58.3,-1.3,40,0,33.3,-0.7,71.3,-0.1,64.1,-0.2,76.2,-0.2,31.5,1.4,78.1,-0.8,58.8,-12,70,0,60,0,34.6,32.5,171.2,3,5265,1.3,2836
Mozambique,Sub-Saharan Africa,128,25,55,0,30,0,26.2,-0.8,75.7,-0.5,64.6,0.1,65.2,1.3,36.7,-1.2,80.8,6.1,75.5,0.1,45,-5,50,0,34.4,22.5,26.3,7.5,1169,2.1,5218
Namibia,Sub-Saharan Africa,94,12,59.4,-0.9,30,0,44.2,0.2,66.9,0.5,58.8,-12.7,64.4,-4,81.9,5.2,75,0.1,82.9,1.4,50,0,40,0,37,2.2,16.8,4,7772,6.7,358
Nepal,Asia-Pacific,149,34,50.1,-0.3,30,0,21.3,-0.7,85.9,0.1,89.6,0.4,58.5,1.3,43.8,-0.5,76.3,1.2,61,0.2,5,-5,30,0,18.6,31,40.6,4.6,1308,8.3,92
Netherlands,Europe,15,6,74.2,0.7,90,0,88,-1,51.7,-0.4,25.6,0.9,89.7,6.7,59.6,1,79.9,-1.2,87.8,1,90,0,80,0,49.8,16.8,707,-0.9,42194,2.8,-244
NewZealand,Asia-Pacific,5,4,81.2,-0.2,95,0,94,-1,71.2,-0.3,32.3,-0.9,96.1,-3.8,90.2,0.7,86.3,3,86.8,0,80,0,80,0,47.5,4.4,132,2.5,29730,1.1,2911
Nicaragua,South and Central America / Caribbean,102,18,58.4,1.8,15,0,24.1,-0.9,78.6,-0.1,80,14.9,52.6,1.4,60.3,-1.9,72.8,-0.4,85.4,0,65,5,50,0,25.8,6,26.7,5.2,4458,7.9,810
Niger,Sub-Saharan Africa,127,24,55.1,1.2,30,0,26,1,76.8,-0.2,88.4,8.3,35.2,0,45.4,6.1,88.3,2.9,65.6,-6.1,55,0,40,0,19.6,16.1,13.1,11.2,815,0.5,793
Nigeria,Sub-Saharan Africa,129,26,54.3,-0.8,30,0,22.7,-1.3,85,2.4,74.5,-0.1,48,-7.7,66.4,-0.8,73.1,-0.2,63.8,-0.1,40,0,40,0,29.2,164.8,448.1,6.3,2720,12.2,7029
Norway,Europe,32,16,70.9,0.4,90,0,88.1,-1.9,50.6,-0.4,42.2,1.9,90.9,-1.7,44.6,-0.1,78.7,1.8,89.1,-0.2,75,5,60,0,43.9,5,277.1,3,55009,0.7,12775
Oman,Middle East / North Africa,48,6,67.4,-0.7,50,0,48.2,0.2,98.5,0,56,-13.1,68.3,0.2,75.5,-5.4,73.6,0.9,78.7,0,65,10,60,0,38.3,3.1,90.1,5,29166,2.9,1514
Pakistan,Asia-Pacific,126,26,55.2,0.1,30,0,22.7,-2.3,80.6,0.1,88.3,-0.7,69.4,-1.3,47.3,-0.6,68.5,1.5,64.8,-1.2,40,5,40,0,19.8,178.9,515.4,3.7,2881,11,847
Panama,South and Central America / Caribbean,71,13,63.4,0.9,30,0,34,1,84.3,-1.9,78.7,0.9,73,0.5,39.4,-0.7,75.1,-0.8,74.2,-0.6,75,10,70,0,26.6,3.7,57.1,10.7,15617,5.7,3020
PapuaNewGuinea,Asia-Pacific,132,28,53.9,0.3,20,0,20.2,-1.8,66.7,-0.7,75.4,3.1,57,-1.3,73.7,0.3,75.5,3.1,85.1,0.1,35,0,30,0,28.6,6.8,19.1,9.1,2797,4,29
Paraguay,South and Central America / Caribbean,78,15,62,0.9,30,0,20.5,-1.5,96.2,0.3,89,3.6,58,-1.1,28.9,3.3,80.9,1.1,81.1,-1.6,75,5,60,0,19.1,6.7,40.9,-1.2,6136,3.8,320
Peru,South and Central America / Caribbean,47,7,67.4,-0.8,40,0,34,0,79.1,-0.8,89.1,0,70.6,-1.7,61.4,-5.7,83.3,-1,87,2,70,0,60,0,19.1,30.5,326.7,6.3,10719,3.7,12240
Philippines,Asia-Pacific,89,16,60.1,1.9,30,0,26.1,0.1,79.2,-0.1,92.3,2.1,59.9,6.8,49.7,-1.3,78,1.4,75.5,0,60,10,50,0,16,95.8,424.4,6.6,4430,3.1,2797
Poland,Europe,50,23,67,1,60,0,54.8,-0.2,76.1,0.1,43.2,0.2,70.1,6.1,60.4,-2.5,77.8,0.1,87.8,1,70,5,70,0,43.5,38.9,800.9,2,20592,3.7,3356
Portugal,Europe,69,32,63.5,0.4,70,0,61.1,0.1,60.1,-1.5,26.8,-1.5,84.9,2.1,34.6,3.6,79.3,-0.1,87.8,1,70,0,60,0,49.4,10.5,246.5,-3.2,23385,2.8,8916
Qatar,Middle East / North Africa,30,3,71.2,-0.1,70,0,72.4,0.4,99.9,0.1,72.1,-9.1,71.7,2.3,70,6.6,81.2,0.9,79.8,-2.7,45,0,50,0,30.5,1.8,187.9,6.6,102211,1.9,327
Romania,Europe,62,29,65.5,0.4,40,0,37.7,1.7,87,-0.9,59.2,-3,71,0.6,65.2,1.7,77.1,2.4,87.8,1,80,0,50,0,36.9,21.3,273.4,0.3,12808,3.3,2242
Russia,Europe,140,41,51.9,0.8,25,0,22.1,-1.9,85.6,-1.3,61.5,7.1,70,0.8,55.8,3.2,69.4,2.7,74.6,-2.8,25,0,30,0,35.8,141.9,2513.3,3.4,17709,5.1,51416
Rwanda,Sub-Saharan Africa,65,4,64.7,0.6,30,0,46.9,-3.1,80.3,-0.1,78.2,2.3,69.6,4,84.1,3.8,74.8,-0.7,77.7,-0.3,65,0,40,0,27,10.4,15.5,7.7,1486,6.3,160
SaintLucia,South and Central America / Caribbean,33,2,70.7,0.3,70,0,70.6,0.6,75.7,-1.2,63.6,0,83.1,-2.2,84.5,8.1,82.7,-2,71.9,0,65,0,40,0,34.8,0.2,2.2,-0.4,13104,4.3,113
SaintVincentGrenadines,South and Central America / Caribbean,52,8,67,0.3,70,0,61.1,3.1,73.7,-0.5,72.4,5.3,76.3,-1.3,78.7,2.1,79.8,-0.5,67.6,-5.7,50,0,40,0,30.3,0.1,1.3,0.5,11776,2.6,126
Samoa,Asia-Pacific,84,14,61.1,4,60,0,38,-1,79.9,-0.7,42.2,7.9,73.7,1.3,80.3,-0.1,76.1,-2.4,75.8,9.8,55,25,30,0,43.9,0.2,1.1,1.2,6149,6.2,22
SaoTomePrincipe,Sub-Saharan Africa,157,38,48.8,0.8,20,0,32.5,2.5,86.9,0,27.9,-17.4,52.6,-0.9,44.7,6.1,68.3,2.3,75.3,15.3,50,0,30,0,49,0.2,0.4,4,2337,10.6,50
SaudiArabia,Middle East / North Africa,77,8,62.2,1.6,40,0,43.7,-0.3,99.7,0.1,63.1,10.9,67.3,-0.9,75.8,6.6,68.7,3,74,-3.3,40,0,50,0,35.1,29,906.8,6.8,31275,2.9,12182
Senegal,Sub-Saharan Africa,125,23,55.4,-0.1,40,0,29.5,0.5,65.1,-0.1,75.4,-0.2,47.5,-9.2,41.5,0.2,81.8,2.2,73.2,1,60,5,40,0,28.6,13.1,26.6,3.5,2027,1.1,338
Serbia,Europe,95,37,59.4,0.8,40,0,34,1,83.1,-1.1,38.6,-1.7,59.3,-0.9,70.1,-0.3,66.9,1.6,77,-0.9,75,10,50,0,45.2,7.6,78.7,-1.8,10405,7.3,650
Seychelles,Sub-Saharan Africa,117,19,56.2,1.3,50,0,48.5,0.5,76.8,-0.8,61.8,4.9,67.6,-1.6,68.5,5,75.1,-0.5,33.4,0,50,5,30,0,35.7,0.1,2.3,2.8,25229,7.1,114
SierraLeone,Sub-Saharan Africa,148,34,50.5,2.2,15,5,24.6,-0.4,80.7,0,85.7,9.8,55.3,3.8,28.7,2.4,70.2,1.7,70.2,0.1,55,0,20,0,21.9,6.2,8.3,19.8,1344,13.8,740
Singapore,Asia-Pacific,2,2,89.4,1.4,90,0,91.9,-0.1,91.2,0.1,91.2,-0.1,96.8,-0.3,96.5,5.1,81.5,-0.5,90,0,85,10,80,0,17.1,5.4,326.5,1.3,60410,4.6,56651
Slovakia,Europe,57,26,66.4,-2.3,50,0,41.8,1.8,80.2,-4.5,56,-2,67,-4,53.6,-18.6,78.1,-1,87.8,1,80,5,70,0,38.3,5.4,131.9,2,24249,3.7,2826
Slovenia,Europe,74,34,62.7,1,60,0,61,2,58.9,-6.8,22.6,0.3,85.4,4.7,51,10.6,80.3,-1.3,87.8,1,70,0,50,0,50.8,2.1,58,-2.3,28195,2.6,145
SolomonIslands,Asia-Pacific,165,39,46.2,1.2,30,0,25,-2,61.4,-4.8,21.3,15.2,65.2,-1.4,65.2,-1.2,75.4,0,73,0.4,15,5,30,0,51.2,0.6,1.9,5.5,3345,5.1,69
SouthAfrica,Sub-Saharan Africa,75,6,62.5,0.7,50,0,41.6,0.6,68.7,-1.8,69.1,-0.1,74.5,-0.2,54.4,-1.2,75.3,-0.5,76.1,-0.2,55,10,60,0,32.1,51.2,582.4,2.5,11375,5.7,4573
Spain,Europe,49,22,67.2,-0.8,70,0,62.6,0.6,54,0.1,38.7,-4.3,77.3,-3,52.2,-2.1,79.9,0,87.8,1,80,0,70,0,45.2,46.2,1410.6,-1.4,30557,2.4,27750
SriLanka,Asia-Pacific,90,17,60,-0.7,40,0,33.4,0.4,84.9,0.2,86.3,-0.2,74.4,-2.6,59.2,-1.6,68,-1.1,73.6,-2.6,40,0,40,0,21.4,20.7,126.3,6.4,6107,7.5,776
Suriname,South and Central America / Caribbean,130,23,54.2,2.2,40,0,32.9,2.9,69,-2.6,78.3,5.8,41.8,1.6,81.8,4.3,71.8,5.1,66.2,-0.1,30,5,30,0,26.9,0.5,6.8,4.5,12398,5,70
Swaziland,Sub-Saharan Africa,82,8,61.2,4,40,0,31.6,0.6,74.7,0.3,70.9,19.6,64.2,-1.8,71.7,1.4,72.3,-2.4,81.5,11.8,65,10,40,0,31.2,1.1,6.2,-1.5,5782,8.9,90
Sweden,Europe,20,10,73.1,0.2,90,0,92.3,-0.7,42.9,3.3,21.4,0.4,91.1,-2.1,52.9,-0.7,82.5,0.4,87.8,1,90,0,80,0,51.2,9.5,393,1.2,41191,0.9,13711
Switzerland,Europe,4,1,81.6,0.6,90,0,88.1,0.1,68.9,0.8,65.7,1.9,75.4,-0.4,87.4,-0.5,85.2,-1,90,0,85,5,80,0,33.8,8,363.4,1,45418,-0.7,3613
Taiwan,Asia-Pacific,17,5,73.9,1.2,70,0,59.7,-1.3,80.3,-0.2,84.7,-0.2,93.9,-0.4,53.1,-0.2,81.7,-1.2,85.8,0.8,70,5,60,10,22.6,23.3,903.5,1.3,38749,1.9,3205
Tajikistan,Asia-Pacific,139,30,52,-1.4,20,0,19.4,-3.6,92.3,-0.5,78.1,0,58.4,-3.3,45.5,-10,67.7,3.1,73.2,-5,25,5,40,0,27,8,17.7,7.5,2229,5.8,290
Tanzania,Sub-Saharan Africa,106,15,57.8,-0.1,30,0,28.8,-1.2,79.7,-0.2,78.3,0.4,47,-1.6,61.1,-0.8,66,-5.8,76.8,3.3,60,5,50,0,26.9,47.1,73.9,6.9,1567,16,1706
Thailand,Asia-Pacific,72,12,63.3,-0.8,45,0,33.6,-0.4,79.7,0.8,83.6,-0.1,71.4,-1.8,61.6,-11.3,68.6,0.3,75,-0.2,45,5,70,0,23.4,64.4,651.9,6.4,10126,3,8608
TimorLeste,Asia-Pacific,170,40,43.2,-0.5,20,0,25.4,1.4,64.7,0,0,0,45.4,0.6,79.2,-2,68.3,-1,64.4,-8.6,45,5,20,0,139.7,1.1,11,10,9873,11.8,42
Togo,Sub-Saharan Africa,152,36,49.9,1.1,30,0,23.8,-0.2,69.7,1.2,82.4,0.8,43.3,3.4,42.8,-1.4,79.3,0.8,62.8,6.1,35,0,30,0,24.2,6.3,6.9,5,1096,2.6,166
Tonga,Asia-Pacific,104,22,58.2,2.2,20,0,28.6,-2.4,86.7,-0.4,74.8,10.1,74.6,-2,91.2,6.8,71.3,0.2,79.5,3.9,35,5,20,0,29,0.1,0.8,1.4,7548,4.5,7
TrinidadTobago,South and Central America / Caribbean,73,14,62.7,0.4,50,0,34,2,84.8,-0.1,62.5,2.1,59.4,4.3,76.4,-0.3,71.7,-2,78.6,8.7,60,0,50,-10,35.4,1.3,26.7,0.4,20087,9.3,2527
Tunisia,Middle East / North Africa,109,11,57.3,0.3,40,0,39.2,1.2,74.3,-0.2,63.8,0.1,80.7,-2.1,72.6,2.5,75.9,-1.9,61.8,3.7,35,0,30,0,34.8,10.8,105.3,3.6,9775,5.6,1918
Turkey,Europe,64,30,64.9,2,50,0,44,2,77.5,0.5,63.5,-1.4,67.6,-0.6,59.7,16.6,71.8,-1.5,84.5,-0.7,70,5,60,0,34.9,74.9,1123.4,2.6,15001,8.9,12419
Turkmenistan,Asia-Pacific,171,41,42.2,-0.4,5,0,13.4,-2.6,95.2,1.2,93,1.3,30,0,30,0,65.9,-4.7,79.2,0,0,0,10,0,15.2,5.6,48.9,11,8718,4.9,3159
Uganda,Sub-Saharan Africa,91,10,59.9,-1.2,30,0,23.8,-0.2,79.1,-1.5,87.3,3,45.1,-3.3,87.4,-0.5,71,-6.2,75.4,1.8,60,5,40,-10,20.6,35.6,50.4,2.6,1415,14.1,1721
Ukraine,Europe,155,43,49.3,3,30,0,21.9,-1.1,79.1,0.9,37.5,8.1,59.8,12.2,49.8,-0.1,78.7,7.7,86.2,1.8,20,0,30,0,45.6,45.5,335.2,0.2,7374,0.6,7833
UnitedArabEmirates,Middle East / North Africa,28,2,71.4,0.3,55,0,66.4,-1.6,99.6,-0.3,83.1,-2,74.4,0.4,82.9,5.3,84.6,0.7,82.5,-0.1,35,0,50,0,23.7,5.5,271.3,3.9,49012,0.7,9602
UnitedKingdom,Europe,14,5,74.9,0.1,90,0,76.4,-1.6,56.6,-0.4,29.5,1.8,92,-2.1,73.1,1.5,73.5,1.1,87.8,1,90,0,80,0,48.5,63.2,2336.3,0.2,36941,2.8,62351
UnitedStates,North America,12,2,75.5,-0.5,80,-5,72,1,65.8,-3.5,48.1,0.3,89.2,-1.3,97.2,1.7,75.4,0.4,86.8,0.4,70,0,70,0,41.6,314.2,15684.8,2.2,49922,2.1,167620
Uruguay,South and Central America / Caribbean,38,5,69.3,-0.4,70,0,70.6,0.6,77.4,-6.8,68,-0.3,74.5,1.1,68.1,-2.6,72.1,-0.4,82.5,-0.4,80,5,30,0,32.6,3.4,53.8,3.8,15911,8.1,2710
Uzbekistan,Asia-Pacific,163,37,46.5,0.5,15,0,13.4,-2.6,90.3,0.1,70.4,2.6,75.7,4.5,60.8,-0.2,63.1,0.1,66.1,0,0,0,10,0,31.4,29.4,104.7,8,3555,12.1,1094
Vanuatu,Asia-Pacific,93,18,59.5,2.9,40,0,33.5,-1.5,97.3,0,81.7,1.2,54.8,-1.6,56.8,-0.9,82.7,1.3,48,0,60,30,40,0,24.7,0.3,1.2,2.7,4916,1.4,38
Venezuela,South and Central America / Caribbean,175,28,36.3,0.2,5,0,16.5,-2.5,75.3,-0.3,51.8,1.2,43.4,-2.2,33.7,-0.8,49.7,2.4,62.7,3.9,5,0,20,0,40.1,29.5,401.9,5.5,13616,21.1,3216
Vietnam,Asia-Pacific,147,33,50.8,-0.2,15,0,26.9,-2.1,77,1.4,71.4,-1,62,-1.8,68.3,2.8,63.6,-1.7,78.7,0.1,15,0,30,0,30.9,90.4,320.7,5,3548,9.1,8368
Yemen,Middle East / North Africa,123,12,55.5,-0.4,30,0,19.4,-1.6,91.7,0.2,74.9,2.1,59.2,-2.1,54.9,-0.4,62.1,-3.6,82.4,0.9,50,0,30,0,28.9,25.9,59.1,0.1,2283,11,349
Zambia,Sub-Saharan Africa,88,9,60.4,1.7,30,0,31.3,-0.7,71.8,-1.1,82.9,2.6,74.9,14.5,50.1,-8.3,68,2,84.6,2.3,60,5,50,0,23.9,13.9,24,7.3,1722,6.6,1066
Zimbabwe,Sub-Saharan Africa,176,46,35.5,6.9,10,0,19.3,-2.7,63.3,-8.5,64,-2.4,34.5,1.1,22.2,0.3,73,73,54.2,3.8,5,5,10,0,34.6,13,7.2,4.4,559,3.7,400
